concept_id,concept_code,concept_name,vocabulary_id,ingredient
36895501,OMOP993896,10 ML Tilidine 71.2 MG/ML Oral Solution,RxNorm Extension,tilidine
36895691,OMOP988897,20 ML Tilidine 71 MG/ML Oral Solution Box of 20,RxNorm Extension,tilidine
36895779,OMOP1003631,20 ML Tilidine 71 MG/ML Oral Solution,RxNorm Extension,tilidine
36895966,OMOP996142,50 ML Tilidine 71.2 MG/ML Oral Solution,RxNorm Extension,tilidine
36895983,OMOP989972,50 ML Tilidine 71.2 MG/ML Oral Solution Box of 50,RxNorm Extension,tilidine
36896389,OMOP993700,100 ML Tilidine 71.2 MG/ML Oral Solution Box of 100,RxNorm Extension,tilidine
36896472,OMOP990369,100 ML Tilidine 71.2 MG/ML Oral Solution,RxNorm Extension,tilidine
37592451,OMOP4781899,Naloxone 12 MG / Tilidine 150 MG Extended Release Oral Tablet [Tilnalox Ct] Box of 50 by Ct Arzneimittel,RxNorm Extension,tilidine
40063476,452119,naloxone / tilidine Extended Release Oral Tablet,RxNorm,tilidine
40063477,452123,naloxone / tilidine Oral Capsule,RxNorm,tilidine
40087854,452116,tilidine Injectable Solution,RxNorm,tilidine
40087855,374132,tilidine Oral Capsule,RxNorm,tilidine
40087856,377463,tilidine Oral Solution,RxNorm,tilidine
40821004,OMOP2018966,Naloxone 8 MG / Tilidine 100 MG Oral Tablet [Tilidin 1a Pharma] Box of 20,RxNorm Extension,tilidine
40821349,OMOP2019311,Naloxone 6.08 MG/ML / Tilidine 71.2 MG/ML [Tilicomp Beta],RxNorm Extension,tilidine
40821803,OMOP2019765,Naloxone 8 MG / Tilidine 120 MG Oral Tablet [Valoron N] Box of 300,RxNorm Extension,tilidine
40822429,OMOP2020391,Naloxone 6.08 MG/ML / Tilidine 71.2 MG/ML Oral Solution [Tilicomp Beta],RxNorm Extension,tilidine
40822741,OMOP2020703,Naloxone 17.6 MG / Tilidine 206 MG Extended Release Oral Tablet [Celldolor] Box of 100,RxNorm Extension,tilidine
40823051,OMOP2021013,Naloxone 8 MG / Tilidine 100 MG Oral Tablet [Tilicomp Beta],RxNorm Extension,tilidine
40823363,OMOP2021325,Naloxone 4 MG / Tilidine 50 MG Oral Tablet [Celldolor] Box of 20,RxNorm Extension,tilidine
40824407,OMOP2022369,Naloxone 17.6 MG / Tilidine 206 MG Extended Release Oral Tablet [Celldolor] Box of 50 by Cellgmbh,RxNorm Extension,tilidine
40824614,OMOP2022576,Naloxone 17.6 MG / Tilidine 206 MG Extended Release Oral Tablet [Tilidin N Sandoz],RxNorm Extension,tilidine
